date_pub,tested,infected,recovered,died
01.04.2020,32000,,,2
02.04.2020,,300,46,4
03.04.2020,,351,,
04.04.2020,,440,41,5
05.04.2020,,562,52,8
06.04.2020,40000,700,,13
07.04.2020,,861,54,13
08.04.2020,46000,1066,77,13
09.04.2020,49000,1486,139,16
10.04.2020,,1981,169,19
11.04.2020,,2226,172,23
12.04.2020,64000,2578,203,26
13.04.2020,68000,2919,203,29
14.04.2020,71875,3281,203,33
15.04.2020,76198,3728,,36
16.04.2020,81246,4204,,40
17.04.2020,86813,4779,342,42
18.04.2020,92709,5297,458,45
19.04.2020,98231,5807,494,47
20.04.2020,102556,6264,514,51
21.04.2020,108545,6723,577,55
22.04.2020,114955,7281,769,58
23.04.2020,122543,8022,938,60
24.04.2020,130824,8773,1120,63
25.04.2020,139295,9590,1573,67
26.04.2020,147525,10463,1695,72
27.04.2020,153845,11289,1740,75
28.04.2020,161028,12208,1993,79
29.04.2020,168986,13181,2072,84
30.04.2020,176625,14027,2386,89
01.05.2020,186262,14917,2918,93
02.05.2020,195430,15828,3117,97
03.05.2020,204239,16705,3196,99
04.05.2020,211369,17489,3259,103
05.05.2020,211369,18350,3771,107
06.05.2020,220045,19255,4388,112
07.05.2020,229466,20168,5067,116
08.05.2020,240146,21101,5484,121
09.05.2020,251771,22052,6050,126
10.05.2020,263543,22973,6406,131
11.05.2020,274060,23906,6531,135
12.05.2020,284445,24873,6974,142
13.05.2020,296380,25825,7711,146
14.05.2020,308156,26772,8168,151
15.05.2020,321705,27730,8807,156
16.05.2020,335057,28681,9498,160
17.05.2020,350515,29650,9932,165
18.05.2020,364319,30572,10130,171
19.05.2020,375076,31508,10620,175
20.05.2020,387673,32426,11415,179
21.05.2020,403236,33371,12057,185
22.05.2020,419004,34303,12833,190
23.05.2020,434618,35244,13528,194
24.05.2020,450627,36198,14155,199
25.05.2020,463004,37144,14449,204
26.05.2020,472906,38059,15086,208
27.05.2020,485534,38956,15923,214
28.05.2020,499249,39858,16660,219
29.05.2020,512418,40764,17390,224
30.05.2020,526559,41658,17964,229
31.05.2020,541093,42556,18514,235
01.06.2020,553377,43403,18776,240
02.06.2020,562945,44255,19195,243
03.06.2020,573699,45116,20171,248
04.06.2020,585065,45981,21162,253
05.06.2020,597013,46868,22066,259
06.06.2020,609671,47751,23015,263
07.06.2020,622313,48630,23647,269
08.06.2020,632993,49453,23880,276
09.06.2020,644160,50265,24506,282
10.06.2020,659565,51066,25667,288
11.06.2020,678570,51816,26643,293
12.06.2020,697011,52520,27760,298
13.06.2020,714324,53241,29111,303
14.06.2020,733788,53973,30103,308
15.06.2020,749917,54680,30420,312
16.06.2020,760549,55369,31273,318
17.06.2021,778935,56032,32735,324
18.06.2021,800435,56657,34023,331
19.06.2021,821887,57333,35275,337
